College Code,College Name,Category Name,University,District,Zone,Group,branch,Total No of students,1st year,2nd year,3rd year,4th year,Disciplines
1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,59,59,0,0,0,CS
1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,216,59,60,45,52,ECE
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Medical Electronics Engineering,29,29,0,0,0,ECE
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,53,0,0,27,26,EEE
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,16,0,0,14,2,CIVIL
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Aeronautical Engineering,103,27,18,35,23,OTHER
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,121,0,0,82,39,MECH
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering (Artificial Intelligence and Machine learning ),27,27,0,0,0,CS
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,98,30,30,20,18,IT
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering (CyberSecurity),30,30,0,0,0,CS
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,187,60,53,47,27,ECE
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,209,58,59,62,30,CS
1105,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical and automation engineering,18,18,0,0,0,MECH
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,25,5,11,2,7,ECE
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,100,38,28,11,23,CS
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,52,5,33,9,5,MECH
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,47,4,25,10,8,EEE
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,1,0,1,0,0,CIVIL
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Petrochemical Engineering,5,0,0,0,5,OTHER
1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,4,0,0,0,4,IT
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Agriculture Engineering,49,0,20,29,0,OTHER
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Agriculture Engineering,6,6,0,0,0,OTHER
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,134,39,28,29,38,ECE
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Robotics and Automation Engineering,46,9,14,23,0,MECH
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering (CyberSecurity),38,38,0,0,0,CS
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,291,73,84,85,49,CS
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,145,40,60,45,0,CS
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,6,0,0,0,6,MECH
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,1,0,1,0,0,OTHER
1107,J N N INSTITUTE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Biomedical Engineering,109,19,47,43,0,OTHER
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,79,6,24,37,12,EEE
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,192,90,66,18,18,IT
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,1,0,1,0,0,OTHER
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,288,106,92,47,43,CS
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,106,8,35,38,25,MECH
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Aeronautical Engineering,40,13,13,9,5,OTHER
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and instrumentation engineering,33,1,12,11,9,ECE
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,63,4,7,45,7,CIVIL
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,100,26,44,28,2,ECE
1108,JAYA ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Textile Technology,75,6,28,23,18,OTHER
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,115,38,38,20,19,CS
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,94,2,35,37,20,MECH
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Pharmaceutical Technology,14,14,0,0,0,OTHER
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,12,12,0,0,0,CS
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Biomedical Engineering,68,15,23,30,0,OTHER
1120,JAYA SAKTHI ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,1,0,0,0,1,OTHER
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,51,16,19,15,1,CS
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,75,0,33,32,10,EEE
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,162,4,74,66,18,MECH
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,B.E Civil Engineering,40,1,9,27,3,CIVIL
1123,SRI KRISHNA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,40,5,10,21,4,ECE
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,3,0,3,0,0,OTHER
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,152,6,59,66,21,EEE
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,71,3,24,32,12,CIVIL
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,309,13,114,131,51,MECH
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,175,31,60,65,19,CS
1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,248,45,80,91,32,ECE
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,19,10,0,7,2,ECE
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Chemical Engineering,5,0,0,0,5,OTHER
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,94,41,48,5,0,CS
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,47,0,15,22,10,MECH
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,86,25,29,16,16,CS
1126,	Sriram Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,19,7,0,3,9,EEE
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,18,0,4,7,7,CIVIL
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,22,3,1,11,7,EEE
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,51,2,10,17,22,MECH
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,173,51,41,36,45,CS
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Chemical Engineering,46,5,13,8,20,OTHER
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Aeronautical Engineering,28,3,3,5,17,OTHER
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,74,20,21,14,19,IT
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,83,37,29,10,7,ECE
1127,"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Biotechnology,83,20,18,22,23,OTHER
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,48,48,0,0,0,CS
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,107,37,34,21,15,ECE
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,91,8,28,30,25,MECH
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,70,11,29,22,8,EEE
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,11,0,0,11,0,CIVIL
1128,TJS Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,267,80,85,35,67,CS
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Automobile Engineering,56,14,15,11,16,MECH
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,5,0,5,0,0,OTHER
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Civil Engineering,94,22,32,22,18,CIVIL
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,708,178,181,176,173,CS
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,204,50,62,46,46,EEE
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,234,120,61,53,0,CS
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,666,179,181,168,138,ECE
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,289,117,63,62,47,IT
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and instrumentation engineering,93,31,28,17,17,ECE
1132,Velammal Engineering College ,Affilated Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,339,67,96,75,101,MECH
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Artificial Intelligence and Data Science,225,114,62,49,0,CS
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Information Technology,215,58,63,46,48,IT
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechatronics Engineering,59,18,27,14,0,MECH
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,368,114,122,50,82,ECE
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electrical and Electronics Engineering,73,21,30,8,14,EEE
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,79,10,25,24,20,MECH
1133,Velammal Institute of Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Computer Science and Engineering,500,168,122,105,105,CS
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Agriculture Engineering,25,19,6,0,0,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.Tech Food Technology,34,3,6,13,12,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Agriculture Engineering,44,0,0,11,33,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,BIOMEDICAL ENGINEERING,1,0,0,0,1,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Mechanical Engineering,151,2,71,66,12,MECH
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Biomedical Engineering,61,17,8,19,17,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,Others,1,0,0,0,1,OTHER
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,B.E Electronics and Communication Engineering,41,0,20,16,5,ECE
1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,Zone I : Chennai-I,1.0,AGRICULTURAL ENGINEERING (FULL TIME),12,0,12,0,0,OTHER
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,B.E Biomedical Engineering,81,11,19,15,36,OTHER
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,B.E Electronics and Communication Engineering,37,12,15,7,3,ECE
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,B.Tech Information Technology,68,56,0,6,6,IT
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,B.E Mechanical Engineering,16,0,7,6,3,MECH
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,Others,60,0,60,0,0,OTHER
2101,ALPHA COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone II : Chennai-II,1.0,B.E Computer Science and Engineering,120,49,45,17,9,CS
2102,APOLLO ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Electrical and Electronics Engineering,11,4,3,4,0,EEE
2102,APOLLO ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Aeronautical Engineering,45,6,8,9,22,OTHER
2102,APOLLO ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Mechanical Engineering,35,6,2,3,24,MECH
2102,APOLLO ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Computer Science and Engineering,161,44,51,35,31,CS
2102,APOLLO ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Electronics and Communication Engineering,105,36,22,9,38,ECE
2104,CHENNAI INSTITUTE OF TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Computer Science and Engineering,753,188,192,190,183,CS
2104,CHENNAI INSTITUTE OF TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Computer Science and Engineering (Artificial Intelligence and Machine learning ),63,63,0,0,0,CS
2104,CHENNAI INSTITUTE OF TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone II : Chennai-II,1.0,B.E Computer Science and Business Systems,1,1,0,0,0,CS
